0,4,0,6
0,3,0,7
1000,6,0,4
0,44,2,54
1000,54,2,44
2000,55,0,45
3000,62,0,38
4000,43,1,56
5000,57,2,41
6000,50,1,49
7000,54,0,46
8000,53,1,46
9000,49,0,51
10000,40,0,60
11000,52,0,48
12000,47,2,51
13000,43,0,57
14000,51,1,48
15000,57,1,42
16000,46,0,54
17000,53,0,47
18000,52,0,48
19000,50,2,48
20000,48,1,51
21000,59,1,40
22000,50,5,45
23000,42,3,55
24000,50,0,50
25000,36,0,64
26000,56,2,42
27000,54,1,45
28000,50,0,50
29000,58,0,42
30000,55,1,44
31000,44,2,54
32000,48,0,52
33000,54,1,45
34000,51,1,48
35000,62,1,37
36000,61,0,39
37000,58,0,42
38000,51,1,48
39000,43,1,56
40000,51,1,48
41000,59,0,41
42000,57,2,41
43000,63,1,36
44000,52,1,47
45000,43,1,56
46000,49,0,51
47000,49,0,51
48000,49,2,49
49000,56,0,44
50000,47,0,53
51000,40,0,60
52000,53,0,47
53000,49,1,50
54000,55,0,45
55000,62,1,37
56000,44,0,56
57000,51,0,49
58000,53,1,46
59000,47,0,53
60000,46,0,54
61000,62,1,37
62000,54,2,44
63000,43,1,56
64000,47,2,51
65000,51,0,49
66000,70,0,30
67000,49,0,51
68000,61,0,39
69000,60,1,39
70000,45,1,54
71000,61,0,39
72000,60,0,40
73000,67,2,31
74000,60,0,40
75000,56,0,44
76000,60,0,40
77000,53,2,45
78000,51,2,47
79000,59,1,40
80000,62,0,38
81000,58,1,41
82000,61,0,39
83000,53,1,46
84000,57,0,43
85000,58,0,42
86000,51,1,48
87000,57,0,43
88000,65,0,35
89000,53,0,47
90000,61,1,38
91000,62,1,37
92000,49,1,50
93000,57,1,42
94000,67,1,32
95000,57,1,42
96000,55,2,43
97000,69,0,31
98000,54,0,46
99000,62,0,38
100000,54,1,45
