0,64,0,36
1000,53,1,46
2000,46,0,54
3000,47,1,52
4000,60,0,40
5000,46,1,53
6000,58,1,41
7000,54,2,44
8000,62,1,37
9000,52,1,47
10000,46,0,54
11000,48,0,52
12000,55,1,44
13000,57,1,42
14000,51,0,49
15000,58,0,42
16000,47,3,50
17000,54,0,46
18000,55,0,45
19000,58,1,41
20000,65,1,34
21000,45,2,53
22000,47,2,51
23000,46,3,51
24000,58,0,42
25000,51,1,48
26000,53,1,46
27000,57,1,42
28000,60,1,39
29000,59,1,40
30000,60,1,39
31000,36,2,62
32000,47,0,53
33000,49,1,50
34000,57,0,43
35000,54,1,45
36000,56,1,43
37000,66,3,31
38000,47,2,51
39000,62,1,37
40000,45,3,52
41000,55,2,43
42000,64,0,36
43000,53,0,47
44000,44,1,55
45000,58,0,42
46000,38,0,62
47000,49,0,51
48000,54,1,45
49000,47,0,53
50000,57,3,40
51000,63,0,37
52000,56,2,42
53000,60,1,39
54000,63,0,37
55000,69,2,29
56000,57,0,43
57000,49,2,49
58000,50,1,49
59000,57,1,42
60000,65,1,34
61000,56,0,44
62000,56,0,44
63000,61,0,39
64000,54,1,45
65000,42,3,55
66000,54,1,45
67000,51,0,49
68000,59,0,41
69000,64,1,35
70000,58,1,41
71000,46,2,52
72000,58,1,41
73000,50,2,48
74000,47,0,53
75000,54,1,45
76000,56,1,43
77000,61,0,39
78000,52,1,47
79000,49,0,51
80000,60,1,39
81000,56,0,44
82000,58,1,41
83000,57,0,43
84000,52,1,47
85000,51,2,47
86000,51,0,49
87000,46,0,54
88000,60,0,40
89000,58,0,42
90000,55,0,45
91000,45,1,54
92000,74,1,25
93000,65,0,35
94000,68,0,32
95000,66,1,33
96000,49,1,50
97000,53,1,46
98000,47,1,52
99000,48,1,51
100000,54,1,45
